Year,Domestic credit to private sector (% of GDP),GDP growth (annual %),General government final consumption expenditure (% of GDP),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Population growth (annual %),Real interest rate (%),"Unemployment, total (% of total labor force) (national estimate)",Consumer confidence
1970,87.6766843401341,0.216606498194878,17.9618430210295,5.19517787614495,5.83825533848251,1.16500266687286,2.51491820767599,4.9,81.6372275
1971,91.1170788479504,3.29272245005524,17.9387904021977,5.35193372537237,4.29276668813051,1.26433369185094,0.621992022659649,5.9,88.03909166666666
1972,95.7913033840131,5.25550195781351,17.6292891150878,5.80215931389794,3.27227824655283,1.07052275237269,0.883965225131784,5.6,97.8212125
1973,94.8388699689857,5.64567976314829,16.7762751723054,6.39543530970074,6.17776006377038,0.954476728552297,2.4096938447822,4.9,80.88406666666667
1974,92.2866785612489,-0.540550192633191,17.1626727964469,8.24886441808829,11.0548048048048,0.913660196067714,1.65106596056711,5.6,68.96799
1975,90.4747067249167,-0.205619191121627,17.6107956298994,7.28409452407971,9.14314686496535,0.985986067347125,-1.28158053903036,8.5,78.1942075
1976,89.8846858637993,5.38803391770217,16.7879782984202,8.067953018343,5.74481263549085,0.950220048994522,1.26679040234448,7.7,92.91670333333333
1977,90.1764515225629,4.62418650601657,16.3879690233478,8.76360464323147,6.5016839947284,1.00577199618134,0.575101000374774,7.1,93.92988666666668
1978,91.6312437392906,5.53520648243719,15.7667187305319,9.02577352686406,7.63096383885606,1.0595730803427,1.88980821589415,6.1,85.438895
1979,92.9455322882958,3.16598821816159,15.4036431620963,9.61712885271871,11.2544711292795,1.10357656509899,4.03438927792717,5.8,71.03918333333333
1980,94.3548659876566,-0.256775731395592,15.876837875664,10.2833892192894,13.5492019749684,0.959589922764484,5.71636286472598,7.1,69.3087075
1981,89.2380076705677,2.53770126828974,15.8102437729982,9.90813650339986,10.3347153402771,0.981415437259678,8.5946006933796,7.6,76.04231916666667
1982,92.610926323638,-1.80301378934359,16.5838514332094,9.06707929238358,6.13142700027493,0.953317566163514,8.17720821048295,9.7,73.13727166666666
1983,96.109272798397,4.58379098362749,16.3837857501765,9.04332866084504,3.21243523316065,0.914378513375149,6.61803546660784,9.6,94.0195425
1984,96.7960678673929,7.23645316474058,15.7203773615748,10.0333290981577,4.30053547523429,0.865817336309961,8.14090660797679,7.5,104.87761416666666
1985,103.684613019629,4.16957534699196,15.9171086101131,9.61583358665714,3.54564415209365,0.886129040850881,6.56324383385124,7.2,100.24208750000001
1986,110.161710524439,3.46265505694664,16.1145952588757,9.88872247567544,1.89804772234276,0.924164157058979,6.1938695909416,7.0,101.9904975
1987,112.619055040487,3.45462966856461,16.0012069496407,10.4776616483513,3.6645632175169,0.893829201032046,5.58752028752393,6.2,97.52532500000001
1988,113.690862126055,4.1769823865164,15.6681698513379,10.5795771858657,4.07774110744413,0.907999040167679,5.59030222565257,5.5,100.85179416666666
1989,117.539952502031,3.67223784383981,15.6237968795976,10.4763204634163,4.82700303008944,0.944405555428529,6.69026467457874,5.3,99.80274166666668
1990,114.791425711226,1.88596558187626,15.9007731491978,10.5603352862181,5.39795643990325,1.12965052045579,6.03974984988313,5.6,87.81493916666666
1991,119.177672922602,-0.108312882368935,16.3175698333049,10.1255430017786,4.23496396453849,1.33626074073779,4.91529596812901,6.8,83.43943416666667
1992,118.243163763414,3.52249717301392,16.0786874646011,10.2416795967442,3.02881967814969,1.38688569247935,3.88429488654255,7.5,83.11665166666667
1993,120.994532191545,2.75179586709815,15.6452689260237,10.4974383102923,2.95165696638559,1.31867999977741,3.54563216911484,6.9,89.07917250000001
1994,120.183035270976,4.02902272983438,15.2060534337024,11.162311746182,2.60744159215453,1.2262960888682,4.89854133884219,6.119,99.27373833333333
